*******************************************************************************
 Revised: July 31, 2013                  Sun                                 10
 PHYSICAL PROPERTIES (updated 2018-Aug-15):
  GM, km^3/s^2          = 132712440041.93938  Mass, 10^24 kg        = ~1988500
  Vol. mean radius, km  = 695700              Volume, 10^12 km^3    = 1412000
  Solar radius (IAU)    = 696000 km           Mean density, g/cm^3  = 1.408
  Radius (photosphere)  = 696500 km           Angular diam at 1 AU  = 1919.3"
  Photosphere temp., K  = 6600 (bottom)       Photosphere temp., K  = 4400(top)
  Photospheric depth    = ~500 km             Chromospheric depth   = ~2500 km
  Flatness, f           = 0.00005             Adopted sid. rot. per.= 25.38 d
  Surface gravity       =  274.0 m/s^2        Escape speed, km/s    =  617.7
  Pole (RA,DEC), deg.   = (286.13, 63.87)     Obliquity to ecliptic = 7.25 deg.
  Solar constant (1 AU) = 1367.6 W/m^2        Luminosity, 10^24 J/s = 382.8
  Mass-energy conv rate = 4.260 x 10^9 kg/s   Effective temp, K     = 5772
  Sunspot cycle         = 11.4 yr             Cycle 24 sunspot min. = 2008 A.D.
  Motion relative to nearby stars = apex : R.A.= 271 deg.; DEC.= +30 deg.
                                    speed: 19.4 km/s (0.0112 au/day)
  Motion relative to 2.73K BB/CBR = apex : l= 264.7 +- 0.8; b= 48.2 +- 0.5 deg.
                                    speed: 369 +-11 km/s
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Thu Nov 12 17:45:53 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Sun (10)                        {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2018-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2019-Jan-01 00:00:00.0000 UT      
Step-size       : 60 minutes
*******************************************************************************
Target pole/equ : IAU_SUN                         {East-longitude positive}
Target radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Center geodetic : 116.383300,39.9166000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 116.383300,4898.65479,4070.8875 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.201112.p210203                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2020-NOV-12. PREDICTS-> 2021-FEB-02
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
****************************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),  dRA*cosD, d(DEC)/dt,  T-O-M, MN_Illu%,
****************************************************************************************
$$SOE
 2018-Jan-01 00:00,*, ,   281.16818,  -23.04182,  151.5605,  11.41220,  163.0,  97.8279,
 2018-Jan-01 01:00,*, ,   281.21387,  -23.03871,  151.1633,  11.56027,  163.7,  98.0045,
 2018-Jan-01 02:00,*, ,   281.25946,  -23.03555,  150.8457,  11.74466,  164.5,  98.1801,
 2018-Jan-01 03:00,*, ,   281.30496,  -23.03233,  150.6291,  11.95606,  165.2,  98.3514,
 2018-Jan-01 04:00,*, ,   281.35041,  -23.02905,  150.5280,  12.18333,  166.0,  98.5158,
 2018-Jan-01 05:00,*, ,   281.39585,  -23.02571,  150.5490,  12.41424,  166.7,  98.6707,
 2018-Jan-01 06:00,*, ,   281.44132,  -23.02231,  150.6905,  12.63631,  167.5,  98.8142,
 2018-Jan-01 07:00,*, ,   281.48684,  -23.01884,  150.9425,  12.83768,  168.2,  98.9451,
 2018-Jan-01 08:00,*, ,   281.53245,  -23.01533,  151.2876,  13.00789,  168.9,  99.0627,
 2018-Jan-01 09:00,C,m,   281.57818,  -23.01177,  151.7020,  13.13861,  169.5,  99.1669,
 2018-Jan-01 10:00,N,m,   281.62404,  -23.00818,  152.1572,  13.22421,  170.1,  99.2581,
 2018-Jan-01 11:00, ,m,   281.67003,  -23.00458,  152.6220,  13.26213,  170.6,  99.3374,
 2018-Jan-01 12:00, ,m,   281.71616,  -23.00097,  153.0645,  13.25306,  171.1,  99.4059,
 2018-Jan-01 13:00, ,m,   281.76242,  -22.99737,  153.4542,  13.20087,  171.6,  99.4651,
 2018-Jan-01 14:00, ,m,   281.80878,  -22.99379,  153.7644,  13.11238,  172.0,  99.5166,
 2018-Jan-01 15:00, ,m,   281.85522,  -22.99024,  153.9736,  12.99689,  172.4,  99.5620,
 2018-Jan-01 16:00, ,m,   281.90171,  -22.98673,  154.0674,  12.86550,  172.8,  99.6029,
 2018-Jan-01 17:00, ,m,   281.94820,  -22.98325,  154.0391,  12.73042,  173.1,  99.6406,
 2018-Jan-01 18:00, ,m,   281.99466,  -22.97981,  153.8903,  12.60409,  173.5,  99.6763,
 2018-Jan-01 19:00, ,m,   282.04106,  -22.97640,  153.6309,  12.49835,  173.8,  99.7106,
 2018-Jan-01 20:00, ,m,   282.08737,  -22.97301,  153.2784,  12.42364,  174.2,  99.7440,
 2018-Jan-01 21:00, ,m,   282.13356,  -22.96964,  152.8564,  12.38828,  174.6,  99.7762,
 2018-Jan-01 22:00,A,m,   282.17961,  -22.96628,  152.3933,  12.39792,  175.0,  99.8067,
 2018-Jan-01 23:00,N,m,   282.22553,  -22.96290,  151.9206,  12.45513,  175.3,  99.8345,
 2018-Jan-02 00:00,*, ,   282.27129,  -22.95950,  151.4700,  12.55924,  175.7,  99.8584,
 2018-Jan-02 01:00,*, ,   282.31693,  -22.95607,  151.0720,  12.70641,  176.0,  99.8771,
 2018-Jan-02 02:00,*, ,   282.36246,  -22.95259,  150.7534,  12.88983,  176.2,  99.8892,
 2018-Jan-02 03:00,*, ,   282.40791,  -22.94906,  150.5357,  13.10024,  176.3,  99.8937,
 2018-Jan-02 04:00,*, ,   282.45331,  -22.94546,  150.4335,  13.32655,  176.2,  99.8899,
